name,country_code,currency_code,currency_symbol,is_deleted
Sao Tome and Principe,239,STN,Db,0
Saudi Arabia,966,SAR,ر.س,0
Senegal,221,XOF,Fr,0
Serbia,381,RSD,дин,0
Seychelles,248,SCR,₨,0
Sierra Leone,232,SLL,Le,0
Singapore,65,SGD,$,0
Sint Maarten,1-721,ANG,ƒ,0
Slovakia,421,EUR,€,0
Slovenia,386,EUR,€,0
Solomon Islands,677,SBD,$,0
Somalia,252,SOS,Sh,0
South Africa,27,ZAR,R,0
South Korea,82,KRW,₩,0
South Sudan,211,SSP,£,0
Spain,34,EUR,€,0
Sri Lanka,94,LKR,Rs,0
Sudan,249,SDG,ج.س.,0
Suriname,597,SRD,$,0
Svalbard and Jan Mayen,47,NOK,kr,0
Swaziland,268,SZL,L,0
Sweden,46,SEK,kr,0
Switzerland,41,CHF,Fr,0
Syria,963,SYP,£,0
Taiwan,886,TWD,$,0
Tajikistan,992,TJS,ЅМ,0
Tanzania,255,TZS,Sh,0
Thailand,66,THB,฿,0
Togo,228,XOF,Fr,0
Tokelau,690,NZD,$,0
Tonga,676,TOP,T$,0
Trinidad and Tobago,1-868,TTD,$,0
Tunisia,216,TND,د.ت,0
Turkey,90,TRY,₺,0
Turkmenistan,993,TMT,m,0
Turks and Caicos Islands,1-649,USD,$,0
Tuvalu,688,AUD,$,0
U.S. Virgin Islands,1-340,USD,$,0
Uganda,256,UGX,Sh,0
Ukraine,380,UAH,₴,0
United Arab Emirates,971,AED,د.إ,0
United Kingdom,44,GBP,£,0
United States,1,USD,$,0
Uruguay,598,UYU,$,0
Uzbekistan,998,UZS,so'm,0
Vanuatu,678,VUV,Vt,0
Vatican,379,EUR,€,0
Venezuela,58,VES,Bs.,0
Vietnam,84,VND,₫,0
Wallis and Futuna,681,XPF,Fr,0
Western Sahara,212,MAD,د.م.,0
Yemen,967,YER,﷼,0
Zambia,260,ZMW,ZK,0
Zimbabwe,263,ZWL,$,0
